URL,type,description
https://napieknewlosy.pl/products/hairmoji-chill-regenerujaca-odzywka-200-ml,PEH,"Aqua, Cetearyl Alcohol, Polyglyceryl-3 Dicitrate/Stearate, Behentrimonium Methosulfate, Bis-(Isostearoyl/Oleoyl Isopropyl) Dimonium Methosulfate, Limnanthes Alba Seed Oil, Mangifera Indica Seed Butter, Papaver Somniferum Seed Oil, Pumpkin Seed Oil Polyglyceryl-4 Esters, Triticum Vulgare Germ Oil, Cetraria Islandica Extract, Cucurbita Pepo Seed Oil, Nigella Sativa Seed Extract, Inulin, Panthenol, Sodium PCA, Sodium Lactate, Arginine, Aspartic Acid, Glycine, Alanine, Serine, Valine, Proline, Threonine, Isoleucine, Histidine, Phenylalanine, PCA, Glycerin, Dehydroacetic Acid, Benzyl Alcohol, Citric Acid, Etidronic Acid, Phosphorous Acid, Acetic Acid, Sodium Benzoate, Potassium Sorbate, Parfum"
https://napieknewlosy.pl/products/hairmoji-tea-spill-codzienna-odzywka-200-ml,PEH,"Aqua, Cetearyl Alcohol, Polyglyceryl-3 Dicitrate/Stearate, C13-15 Alkane, Shea Butter Ethyl Esters, Bis-(Isostearoyl/Oleoyl Isopropyl) Dimonium Methosulfate, Crambe Abyssinica Seed Oil, Camellia Japonica Seed Oil, Hydrolyzed Pea Protein, Silk Amino Acids, Mel Extract, Betaine, Ribes Grossularia Fruit Extract, Lactobacillus Ferment, Behentrimonium Methosulfate, Glycerin, Propylene Glycol, Dehydroacetic Acid, Benzyl Alcohol, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Gluconolactone, Calcium Gluconate, Etidronic Acid, Phosphorous Acid,Acetic Acid, Citric Acid, Parfum"
https://napieknewlosy.pl/products/barwa-nablyszczajaca-odzywka-octowa-200ml,E,"Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Vitis Vinifera Seed Oil, Acetum, Prunus Armeniaca Fruit Extract, Prunus Persica Fruit Extract, Pyrus Malus Fruit Extract, Panthenol, Olus Oil, Tocopherol, Linoleic Acid, Linolenic Acid, Tocopheryl Acetate, Retinyl Palmitate, Bioflavonoids, Biotin, Pyridoxine HCL, Cetrimonium Chloride, Propylene Glycol, Polysorbate 20, Polysorbate 80, Parfum, Linalool, Citric Acid"
https://napieknewlosy.pl/products/hairmoji-swoosh-lekka-odzywka-200-ml,PEH,"Aqua, Cetearyl Alcohol, Coconut Alkanes, Shea Butter Ethyl Esters, Bis-(Isostearoyl/Oleoyl Isopropyl) Dimonium Methosulfate, Astrocaryum Murumuru Seed Butter, Babassu Glycereth-8 Esters, Hydrolyzed Keratin, Silk Amino Acids, Phyllanthus Emblica Fruit Extract, Behentrimonium Methosulfate, Lactobacillus Ferment, Polyglyceryl-2 Stearate, Glyceryl Stearate, Stearyl Alcohol, Propanediol, Glycerin, Citric Acid, Etidronic Acid, Phosphorous Acid, Acetic Acid, Phenoxyethanol, Potassium Sorbate, Benzyl Benzoate, Dehydroacetic Acid, Benzyl Alcohol, Parfum, Limonene, Linalool"
https://napieknewlosy.pl/products/gosh-odzywka-do-wlosow-pump-up-the-volume-230ml,P,"Aqua Water Eau, Cetearyl Alcohol, Behentrimonium Chloride, Dipropylene Glycol, Hydrolyzed Wheat Protein, Butyrospermum Parkii Butter, Hydroxyethylcellulose, Hydroxypropyl Guar Hydroxypropyltrymonium Chloride, Ethylhexylglycerin, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Sodium Benzoate, Parfum Fragrance"
https://napieknewlosy.pl/products/barwa-regenerujaca-odzywka-awokado-200ml-1,E,"Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Persea Gratissima Oil, Vegetable Oil, Butyrospermum Parkii Butter, Cocos Nucifera Oil, Biotin, Bioflavonoids, Pyridoxine HCI, Linoleic Acid, Linolenic Acid, Tocopherol, Retinyl Palmitate, Tocopheryl Acetate, Panthenol, Glycerin, Cetrimonium Chloride, Propylene Glycol, Polysorbate 20, Citric Acid, Parfum, Benzyl Salicylate, Limonene"
https://napieknewlosy.pl/products/anwen-humektantowa-piwonia-odzywka-do-wlosow-o-roznej-porowatosci-200ml,H,"Aqua, Cetearyl Alcohol, Trehalose, Behentrymonium Chloride, Starch Hydroxypropyltrimonium Chloride, Fructose, Inulin, Royal Jelly, Hydrolyzed Corn Starch, Beta Vulgaris Root Extract, Paeonia Officinalis Flower Extract, Pyrus Communis Fruit Extract, Caesalpinia Spinosa Gum, Hydroxypropyltrimonium Honey, Panthenol, Sodium Lactate, Lactic Acid, Urea, Citric Acid, Glycerin, Phenoxyethanol, Sorbic Acid, Benzoic Acid, Dehydroacetic Acid, Parfum"
https://napieknewlosy.pl/products/barwa-odzywka-zwiekszajaca-objetosc-piwonia-200ml,PEH,"Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Paeonia Lactiflora Root Extract, Trehalose, Hydrolyzed Wheat Gluten, Simmondsia Chinensis Seed Oil, Vitis Vinifera Seed Oil, Glycerin, Cetrimonium Chloride, Citric Acid, Parfum"
https://napieknewlosy.pl/products/barwa-nawilzajaca-odzywka-kaktusowa-200ml,PEH,"Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Opuntia Ficus-Indica Extract, Cannabis Sativa Seed Oil, Hydrolyzed Wheat Gluten, Vitis Vinifera Seed Oil, Panthenol, Cetrimonium Chloride, Propylene Glycol, Citric Acid, Parfum, Linalool, Alpha-Isomethyl Ionone, Limonene"
https://napieknewlosy.pl/products/barwa-wygladzajaca-odzywka-lniana-200ml,E,"Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Linum Usitatissimum Seed Oil, Linum Usitatissimum Seed Extract, Linoleic Acid, Linolenic Acid, Tocopheryl Acetate, Retinyl Palmitate, Bioflavonoids, Biotin, Glycerin, Panthenol, Pyridoxine HCl, Cetrimonium Chloride, Propylene Glycol, Polysorbate 20, Citric Acid, Parfum, Linalool, Limonene"
